Origem,Designer,Designer,Designer,Pesquisador,Pesquisador,Pesquisador,Designer/Pesquisador
Valor,Média,IC infer (95%),IC super (95%),Média,IC infer (95%),IC super (95%),p-value
Dintinguíveis,4.043,3.727,4.358,3.737,3.355,4.119,0.238
Proeminentes,4.064,3.724,4.403,3.553,3.2,3.905,<0.001
Eficiente,3.915,3.589,4.24,3.868,3.58,4.156,0.493
Útil,4.617,4.367,4.867,4.842,4.725,4.96,0.496
Estética,4.447,4.202,4.691,3.237,2.843,3.631,<0.001
Compreensão,3.979,3.672,4.286,3.789,3.426,4.153,0.419
Interesse,4.021,3.709,4.334,3.395,2.986,3.803,<0.001
