Origem,Designer,Designer,Designer,Pesquisador,Pesquisador,Pesquisador,Designer/Pesquisador
Valor,Média,IC infer (95%),IC super (95%),Média,IC infer (95%),IC super (95%),p-value
Dintinguíveis,4.026,3.768,4.283,3.364,3.069,3.658,<0.001
Proeminentes,4.026,3.786,4.265,3.065,2.763,3.367,<0.001
Eficiente,3.808,3.521,4.094,2.987,2.705,3.269,<0.001
Útil,4.718,4.562,4.873,4.26,3.969,4.551,<0.001
Estética,4.282,4.056,4.508,2.558,2.279,2.838,<0.001
Compreensão,3.846,3.562,4.13,3.013,2.7,3.326,<0.001
Interesse,3.987,3.723,4.251,3.013,2.674,3.352,<0.001
