Origem,Designer,Designer,Designer,Pesquisador,Pesquisador,Pesquisador,Designer/Pesquisador
Valor,Média,IC infer (95%),IC super (95%),Média,IC infer (95%),IC super (95%),p-value
Dintinguíveis,4.085,3.941,4.229,3.487,3.328,3.647,0.0
Proeminentes,4.047,3.907,4.186,3.106,2.944,3.268,0.0
Eficiente,3.864,3.717,4.012,3.242,3.081,3.402,0.0
Útil,4.712,4.618,4.806,4.517,4.384,4.65,0.205
Estética,4.314,4.191,4.436,2.822,2.663,2.981,0.0
Compreensão,3.958,3.81,4.105,3.242,3.067,3.416,0.0
Interesse,4.051,3.912,4.189,2.928,2.748,3.108,0.0
